,source,event_id,division_id,athlete_id,place,incomplete,name
1557,Live Heats,187562,400714,1165931,4,False,
1558,Live Heats,187562,400715,1169635,1,False,
1559,Live Heats,187562,400715,844750,2,False,
1560,Live Heats,187562,400715,1166082,3,False,
1561,Live Heats,187562,400715,1167311,4,False,
1562,Live Heats,187562,400715,1169643,5,False,
1563,Live Heats,187562,400715,1171678,5,False,
1564,Live Heats,187562,400715,1176481,7,False,
1565,Live Heats,187562,400715,1170707,7,False,
1566,Live Heats,187562,400715,1170311,9,False,
1567,Live Heats,187562,400715,1168576,9,False,
1568,Live Heats,187562,353292,1177773,1,False,
1569,Live Heats,187562,353292,1166237,2,False,
1570,Live Heats,187562,353292,1166832,3,False,
1571,Live Heats,187562,353292,1165931,4,False,
1572,Live Heats,187562,353292,1176427,4,False,
1573,Live Heats,187562,353292,1169644,4,False,
1574,Live Heats,187562,353293,1166082,1,False,
1575,Live Heats,187562,353293,1167311,2,False,
1576,Live Heats,187562,353293,1169643,3,False,
1577,Live Heats,187562,353293,1176481,4,False,
1578,Live Heats,187562,353293,1170707,4,False,
1579,Live Heats,187562,353293,1168576,6,False,
1580,Live Heats,214877,400732,1203243,1,False,
1581,Live Heats,214877,400732,1051960,2,False,
1582,Live Heats,214877,400732,1196284,3,False,
1583,Live Heats,214877,400732,1202115,4,False,
1584,Live Heats,214877,400732,1069736,5,False,
1585,Live Heats,214877,400732,1196288,5,False,
1586,Live Heats,214877,400732,1069738,5,False,
1587,Live Heats,214877,400732,1196286,5,False,
1588,Live Heats,214877,400732,1196285,5,False,
1589,Live Heats,214877,400733,530553,1,False,
1590,Live Heats,214877,400733,923895,2,False,
1591,Live Heats,214877,400733,1196289,3,False,
1592,Live Heats,214877,400733,1196290,4,False,
1593,Live Heats,214877,400733,1196294,5,False,
1594,Live Heats,214877,400733,1576322,5,False,
1595,Live Heats,214877,400733,1196293,5,False,
1596,Live Heats,214877,400733,1196292,5,False,
1597,Live Heats,214877,400733,923905,9,False,
1598,Live Heats,214877,400733,1196297,9,False,
1599,Live Heats,214877,400733,1196296,9,False,
1600,Live Heats,214877,400733,923883,9,False,
1601,Live Heats,214877,400733,923882,9,False,
1602,Live Heats,214877,400733,923907,9,False,
1603,Live Heats,214877,400733,1163257,9,False,
1604,Live Heats,214877,400733,1196295,9,False,
1605,Live Heats,214877,400733,1203243,17,False,
1606,Live Heats,214877,400733,1196306,17,False,
1607,Live Heats,214877,400733,1051960,17,False,
1608,Live Heats,214877,400733,923901,17,False,
1609,Live Heats,214877,400733,1202115,17,False,
1610,Live Heats,214877,400733,1196305,17,False,
1611,Live Heats,214877,400733,1196304,17,False,
1612,Live Heats,214877,400733,1196303,17,False,
1613,Live Heats,214877,400733,1196302,17,False,
1614,Live Heats,214877,400733,1196301,17,False,
1615,Live Heats,214877,400733,923887,17,False,
1616,Live Heats,214877,400733,1196285,17,False,
1617,Live Heats,214877,400733,1196300,17,False,
1618,Live Heats,214877,400733,1196299,17,False,
1619,Live Heats,214877,400733,1196298,17,False,
1620,Live Heats,214877,400733,1196314,33,False,
1621,Live Heats,214877,400733,1196313,33,False,
1622,Live Heats,214877,400733,1196312,33,False,
1623,Live Heats,214877,400733,1196311,33,False,
1624,Live Heats,214877,400733,1196310,33,False,
1625,Live Heats,214877,400733,1196309,33,False,
1626,Live Heats,214877,400733,1069738,33,False,
1627,Live Heats,214877,400733,1196308,33,False,
1628,Live Heats,214877,400733,1196286,33,False,
1629,Live Heats,214877,400733,1196307,33,False,
1630,Live Heats,263420,460768,1171826,1,False,
1631,Live Heats,263420,460768,817949,2,False,
1632,Live Heats,263420,460768,1578513,3,False,
1633,Live Heats,263420,460768,1488151,4,False,
1634,Live Heats,263420,460768,1122387,5,False,
1635,Live Heats,263420,460768,1122389,6,False,
